guid,gid,uid,vid
84,3867,1253,303
84,3841,1253,443
84,3988,1253,429
84,3935,1253,472
84,3700,1253,381
84,3878,1253,332
85,3700,2296,381
85,4047,2296,271
85,4241,2296,438
85,4260,2296,289
85,3988,2296,429
85,4049,2296,202
85,3791,2296,433
86,4335,32,397
86,4199,32,172
86,4040,32,361
86,4276,32,214
86,4038,32,183
86,4326,32,500
86,4327,32,248
86,3710,32,399
86,4047,32,271
86,4209,32,306
86,4275,32,453
86,3692,32,516
86,4033,32,261
86,3721,32,336
86,4209,32,306
86,3710,32,399
86,4326,32,500
86,4335,32,397
86,4276,32,214
86,4327,32,248
86,4038,32,183
86,4040,32,361
87,4276,2362,214
87,4209,2362,306
87,4038,2362,183
87,4308,2362,509
87,4017,2362,276
87,4199,2362,172
88,4334,2204,62
88,4260,2204,289
88,3918,2204,19
88,4336,2204,86
88,4085,2204,137
88,4049,2204,202
88,4165,2204,639
89,4069,1405,133
89,4260,1405,289
89,4196,1405,380
89,4040,1405,361
89,4047,1405,271
89,4037,1405,147
89,4069,1405,133
89,4196,1405,380
89,3977,1405,186
89,4033,1405,261
89,4326,1405,500
90,3977,1130,186
90,4308,1130,509
90,4276,1130,214
90,4209,1130,306
90,4149,1130,518
90,4246,1130,201
90,4327,1130,248
90,4115,1130,562
90,4037,1130,147
90,3977,1130,186
90,3971,1130,231
90,4276,1130,214
90,4308,1130,509
90,4209,1130,306
91,4327,298,248
91,4115,298,562
91,4325,298,400
91,4119,298,141
91,4129,298,412
91,4117,298,247
91,4116,298,175
91,4303,298,305
91,4118,298,95
91,4124,298,422
91,4285,298,135
91,4110,298,136
91,4290,298,294
91,4271,298,299
91,4135,298,122
91,4279,298,193
91,4265,298,396
91,4130,298,349
91,4131,298,181
91,4303,298,305
91,4327,298,248
92,4050,1988,282
92,3992,1988,513
92,4300,1988,93
92,4249,1988,173
92,4050,1988,282
92,4054,1988,87
92,4243,1988,112
92,4017,1988,276
93,3670,1958,495
93,3751,1958,145
93,3764,1958,156
93,3749,1958,77
93,3813,1958,123
93,3752,1958,63
93,3755,1958,189
93,3751,1958,145
94,4093,594,151
94,3957,594,211
94,4008,594,155
94,4058,594,52
94,3951,594,227
94,4054,594,87
94,3948,594,169
94,3949,594,343
94,4006,594,311
94,4094,594,240
94,4039,594,38
94,3951,594,227
94,4093,594,151
94,4058,594,52
94,4094,594,240
94,4006,594,311
94,3957,594,211
94,3948,594,169
94,3949,594,343
94,4054,594,87
94,4008,594,155
95,4093,1427,151
95,3794,1427,278
95,3948,1427,169
95,4094,1427,240
95,4190,1427,66
95,3951,1427,227
95,3957,1427,211
95,4008,1427,155
95,3944,1427,285
95,4083,1427,34
96,4083,1085,34
96,4190,1085,66
96,4081,1085,40
96,3981,1085,59
96,3976,1085,21
96,4084,1085,96
96,3972,1085,22
96,4041,1085,102
96,3980,1085,25
96,3757,1085,48
96,4084,1085,96
96,3981,1085,59
96,3976,1085,21
96,3980,1085,25
96,3757,1085,48
97,4190,799,66
97,4093,799,151
97,4083,799,34
97,3951,799,227
97,3957,799,211
97,3948,799,169
97,4058,799,52
97,4041,799,102
97,3976,799,21
97,4083,799,34
97,4008,799,155
97,3957,799,211
97,3976,799,21
97,4093,799,151
97,3948,799,169
97,4041,799,102
97,4190,799,66
97,3951,799,227
97,4058,799,52
98,4190,1128,66
98,4083,1128,34
98,4041,1128,102
98,4081,1128,40
98,4078,1128,152
98,4058,1128,52
98,3749,1128,77
98,4084,1128,96
98,3978,1128,17
98,4085,1128,137
98,4080,1128,61
98,4084,1128,96
98,4058,1128,52
98,3749,1128,77
99,4190,1226,66
99,3752,1226,63
99,4083,1226,34
99,3765,1226,196
99,3749,1226,77
99,3755,1226,189
99,3745,1226,78
99,3760,1226,142
99,3753,1226,185
99,3951,1226,227
99,4093,1226,151
99,3749,1226,77
99,3745,1226,78
100,4190,1403,66
100,3794,1403,278
100,3795,1403,225
100,3808,1403,121
100,4083,1403,34
100,3749,1403,77
100,3765,1403,196
100,3752,1403,63
100,3745,1403,78
100,4093,1403,151
100,3755,1403,189
101,4190,1016,66
101,3951,1016,227
101,4093,1016,151
101,4094,1016,240
101,3957,1016,211
101,4008,1016,155
101,4083,1016,34
101,3948,1016,169
101,3944,1016,285
101,3960,1016,295
101,4041,1016,102
101,3957,1016,211
101,4093,1016,151
101,3960,1016,295
101,3951,1016,227
101,4008,1016,155
102,4083,678,34
102,4190,678,66
102,3951,678,227
102,3944,678,285
102,4041,678,102
102,3957,678,211
102,4008,678,155
102,4094,678,240
102,4058,678,52
102,4081,678,40
102,4080,678,61
102,4058,678,52
102,4190,678,66
102,4083,678,34
102,3957,678,211
102,4081,678,40
102,4008,678,155
102,4041,678,102
102,3944,678,285
102,4094,678,240
103,4190,959,66
103,3749,959,77
103,3951,959,227
103,4041,959,102
103,3948,959,169
103,4093,959,151
103,3760,959,142
103,3755,959,189
103,3745,959,78
103,4008,959,155
103,3764,959,156
103,4083,959,34
103,4008,959,155
103,4093,959,151
103,3745,959,78
103,3749,959,77
103,4041,959,102
104,3698,1118,374
104,3665,1118,99
104,3661,1118,127
104,3691,1118,585
104,4048,1118,75
104,3908,1118,85
104,4238,1118,64
104,3690,1118,350
104,3651,1118,158
104,4154,1118,128
104,4044,1118,260
104,4051,1118,150
104,3690,1118,350
104,4238,1118,64
105,4154,1094,128
105,3878,1094,332
105,4087,1094,523
105,4297,1094,398
105,4197,1094,110
105,3901,1094,524
105,4172,1094,573
105,3778,1094,552
105,3698,1094,374
105,3804,1094,607
105,4197,1094,110
105,4087,1094,523
105,3901,1094,524
105,4297,1094,398
105,3698,1094,374
106,4254,1906,270
106,4304,1906,229
106,4162,1906,479
106,3684,1906,594
106,4238,1906,64
106,4051,1906,150
106,4304,1906,229
106,4263,1906,432
107,3712,2669,540
107,4304,2669,229
107,4044,2669,260
107,4254,2669,270
107,4051,2669,150
108,4229,3107,55
108,4032,3107,302
108,3904,3107,29
109,4025,1721,342
109,4024,1721,514
109,3856,1721,378
109,4023,1721,389
109,3853,1721,328
109,4023,1721,389
109,4202,1721,356
109,4025,1721,342
109,3840,1721,489
110,4304,1521,229
110,4254,1521,270
110,4247,1521,254
110,3741,1521,572
110,4247,1521,254
110,4032,1521,302
110,4162,1521,479
110,4299,1521,269
110,4304,1521,229
110,4025,1521,342
111,4249,1332,173
111,4238,1332,64
111,4297,1332,398
111,4168,1332,218
111,4238,1332,64
111,3665,1332,99
111,3908,1332,85
111,4304,1332,229
111,4249,1332,173
111,4051,1332,150
111,3661,1332,127
112,4254,3483,270
113,4187,1078,430
113,3688,1078,452
113,3690,1078,350
113,4263,1078,432
113,4256,1078,419
113,4044,1078,260
113,3678,1078,298
113,3692,1078,516
113,4246,1078,201
113,3977,1078,186
113,4238,1078,64
113,3691,1078,585
113,4187,1078,430
113,3692,1078,516
113,4246,1078,201
114,4249,2074,173
114,4238,2074,64
114,3904,2074,29
114,4238,2074,64
114,4051,2074,150
114,3915,2074,51
114,3841,2074,443
114,3685,2074,286
115,3648,1368,423
115,4304,1368,229
115,4238,1368,64
115,4304,1368,229
115,3741,1368,572
115,4247,1368,254
115,3918,1368,19
115,3680,1368,406
115,4254,1368,270
115,3648,1368,423
115,3730,1368,589
116,4164,3180,369
116,3648,3180,423
117,4051,1574,150
117,4202,1574,356
117,4048,1574,75
117,4238,1574,64
117,4214,1574,563
117,4025,1574,342
117,4304,1574,229
117,4254,1574,270
117,4168,1574,218
117,3684,1574,594
118,4300,1923,93
118,3908,1923,85
118,4300,1923,93
118,4229,1923,55
118,4051,1923,150
118,4202,1923,356
118,4048,1923,75
118,3853,1923,328
119,3918,2722,19
119,3904,2722,29
119,3915,2722,51
119,4300,2722,93
119,4207,2722,107
120,3918,2160,19
120,4086,2160,531
120,4077,2160,348
120,4223,2160,74
120,3915,2160,51
120,4063,2160,386
120,4086,2160,531
121,4214,2650,563
121,3656,2650,621
121,4286,2650,665
121,3678,2650,298
121,3917,2650,637
122,4035,2307,233
122,4242,2307,488
122,3880,2307,72
122,4328,2307,198
122,4049,2307,202
122,3981,2307,59
122,4173,2307,153
123,4049,2583,202
123,4224,2583,508
123,4335,2583,397
123,3721,2583,336
123,3915,2583,51
124,4188,22,300
124,3892,22,481
124,4198,22,204
124,4100,22,404
124,4316,22,230
124,3979,22,437
124,4226,22,503
124,4133,22,463
124,4243,22,112
124,4330,22,100
124,4015,22,597
124,4228,22,435
124,3708,22,537
124,3973,22,245
124,4037,22,147
124,4018,22,337
124,3991,22,322
124,4330,22,100
124,4316,22,230
124,3979,22,437
124,4188,22,300
124,3892,22,481
124,4198,22,204
125,4261,1493,394
125,3915,1493,51
125,4261,1493,394
125,4328,1493,198
125,4190,1493,66
125,4330,1493,100
125,4243,1493,112
125,3904,1493,29
125,4300,1493,93
125,3918,1493,19
126,4260,2382,289
126,4040,2382,361
126,4038,2382,183
126,4049,2382,202
126,4047,2382,271
126,4040,2382,361
127,3713,31,407
127,4310,31,424
127,4317,31,498
127,4276,31,214
127,3715,31,442
127,4045,31,384
127,4275,31,453
127,4128,31,143
127,4105,31,367
127,4120,31,161
127,4238,31,64
127,4117,31,247
127,4323,31,405
127,4285,31,135
127,4335,31,397
127,4119,31,141
127,4124,31,422
127,4135,31,122
127,4045,31,384
127,4105,31,367
127,3715,31,442
127,4317,31,498
128,4032,2124,302
128,3808,2124,121
128,3752,2124,63
128,3956,2124,544
128,4030,2124,274
128,4030,2124,274
128,4190,2124,66
129,3918,1863,19
129,4252,1863,219
129,4069,1863,133
129,4086,1863,531
129,4203,1863,326
129,3918,1863,19
129,4063,1863,386
129,3915,1863,51
129,3908,1863,85
130,3805,2312,232
130,4296,2312,345
130,4253,2312,439
130,3726,2312,262
130,4262,2312,549
130,3718,2312,451
130,4253,2312,439
131,3669,2599,623
131,3746,2599,511
131,3782,2599,600
131,3740,2599,246
131,3752,2599,63
132,4243,1243,112
132,4050,1243,282
132,4330,1243,100
132,4228,1243,435
132,4300,1243,93
132,4159,1243,602
132,4243,1243,112
132,4223,1243,74
132,4048,1243,75
132,4330,1243,100
132,4129,1243,412
132,4228,1243,435
133,3696,1355,477
133,4154,1355,128
133,3689,1355,475
133,3698,1355,374
133,3678,1355,298
133,3688,1355,452
133,3661,1355,127
133,3650,1355,104
133,3665,1355,99
133,3696,1355,477
133,3661,1355,127
134,4229,3263,55
134,4191,3263,492
135,4261,3408,394
136,3988,3069,429
136,4235,3069,84
136,3805,3069,232
137,4243,1679,112
137,4330,1679,100
137,4086,1679,531
137,4223,1679,74
137,4243,1679,112
137,4077,1679,348
137,4330,1679,100
137,4218,1679,132
137,4064,1679,687
138,4203,2793,326
138,3918,2793,19
138,3718,2793,451
138,3745,2793,78
139,3715,3218,442
139,4260,3218,289
140,4209,1555,306
140,4017,1555,276
140,3977,1555,186
140,3977,1555,186
140,4017,1555,276
140,4265,1555,396
140,4199,1555,172
140,4276,1555,214
140,4327,1555,248
140,4209,1555,306
141,3918,1723,19
141,3737,1723,352
141,3808,1723,121
141,4249,1723,173
141,3915,1723,51
141,4190,1723,66
141,4035,1723,233
141,4235,1723,84
