guid,gid,uid,vid
115,4961,2612,870
116,5903,2364,3
116,5098,2364,111
116,5937,2364,35
116,4984,2364,5
116,5903,2364,3
116,5094,2364,481
116,5049,2364,1201
116,5089,2364,612
116,5098,2364,111
117,4977,2901,12
117,4984,2901,5
117,5938,2901,27
117,4979,2901,7
117,5876,2901,671
117,5838,2901,26
118,5843,2181,1
118,5448,2181,1161
118,5145,2181,51
118,5900,2181,2
118,5903,2181,3
118,5145,2181,51
118,5087,2181,496
118,5138,2181,127
118,5938,2181,27
118,5900,2181,2
119,4997,1880,439
119,5764,1880,515
119,4998,1880,29
119,4996,1880,73
119,5938,1880,27
119,5991,1880,282
119,5900,1880,2
119,4998,1880,29
119,5843,1880,1
119,5938,1880,27
119,5764,1880,515
119,4996,1880,73
119,5903,1880,3
119,5991,1880,282
120,5900,1893,2
120,5938,1893,27
120,4978,1893,4
120,5843,1893,1
120,5843,1893,1
120,5938,1893,27
120,5133,1893,731
120,5187,1893,668
120,5900,1893,2
120,5929,1893,77
120,4978,1893,4
120,5092,1893,107
120,4979,1893,7
120,5858,1893,120
121,5262,2955,564
121,5586,2955,968
121,5944,2955,550
121,5359,2955,819
121,5876,2955,671
122,5900,3454,2
123,4978,2274,4
123,4984,2274,5
123,4996,2274,73
123,5285,2274,0
123,5903,2274,3
123,5843,2274,1
123,5900,2274,2
123,4998,2274,29
123,5776,2274,30
123,5092,2274,107
124,5265,2851,778
124,5778,2851,99
124,5265,2851,778
124,5239,2851,684
124,5302,2851,65
124,5274,2851,437
125,5903,2145,3
125,5900,2145,2
125,5843,2145,1
125,5877,2145,64
125,4978,2145,4
125,4984,2145,5
125,4977,2145,12
125,5938,2145,27
125,5877,2145,64
125,5938,2145,27
127,4979,2372,7
127,5196,2372,221
127,5843,2372,1
127,5302,2372,65
127,4855,2372,67
127,6051,2372,527
127,5285,2372,0
127,4978,2372,4
127,5842,2372,20
128,5309,3475,70
129,5768,3298,466
129,5938,3298,27
129,5991,3298,282
130,5285,2770,0
130,5929,2770,77
130,5838,2770,26
130,5302,2770,65
130,5900,2770,2
130,5843,2770,1
131,5903,2936,3
131,6037,2936,920
131,5731,2936,461
131,5497,2936,133
131,4996,2936,73
132,4979,1745,7
132,5285,1745,0
132,5842,1745,20
132,5843,1745,1
132,4978,1745,4
132,4984,1745,5
132,5302,1745,65
132,5900,1745,2
132,5903,1745,3
132,4977,1745,12
132,5903,1745,3
132,5302,1745,65
132,4978,1745,4
132,5285,1745,0
132,4979,1745,7
132,5900,1745,2
132,5842,1745,20
133,5938,2634,27
133,5302,2634,65
133,5834,2634,164
133,4978,2634,4
133,5900,2634,2
133,5842,2634,20
133,5877,2634,64
134,5877,3217,64
134,5468,3217,318
134,4998,3217,29
135,4998,2893,29
135,4984,2893,5
135,4984,2893,5
135,5877,2893,64
135,5099,2893,186
135,4996,2893,73
136,4996,1917,73
136,4834,1917,281
136,5776,1917,30
136,4979,1917,7
136,4978,1917,4
136,5938,1917,27
136,5843,1917,1
136,5526,1917,110
136,4996,1917,73
136,4998,1917,29
136,5776,1917,30
136,5900,1917,2
136,4834,1917,281
137,4977,2076,12
137,5302,2076,65
137,5285,2076,0
137,5838,2076,26
137,4978,2076,4
137,5302,2076,65
137,4978,2076,4
137,5900,2076,2
137,5929,2076,77
137,5285,2076,0
137,5838,2076,26
138,5838,1764,26
138,5938,1764,27
138,4977,1764,12
138,5302,1764,65
138,5900,1764,2
138,5903,1764,3
138,5342,1764,617
138,4978,1764,4
138,5843,1764,1
138,5421,1764,49
138,4998,1764,29
138,5877,1764,64
138,5843,1764,1
138,5903,1764,3
138,4977,1764,12
138,5421,1764,49
138,4978,1764,4
139,5941,3202,375
139,5302,3202,65
139,5936,3202,696
140,5130,2798,996
140,5186,2798,839
140,5107,2798,252
140,5095,2798,330
140,5272,2798,44
140,5100,2798,176
141,5903,2073,3
141,5900,2073,2
141,4998,2073,29
141,5843,2073,1
141,5489,2073,261
141,5900,2073,2
141,5843,2073,1
141,4998,2073,29
141,5838,2073,26
141,5903,2073,3
141,4977,2073,12
142,4984,3028,5
142,5285,3028,0
142,5285,3028,0
142,4978,3028,4
142,5768,3028,466
143,5526,3322,110
143,4834,3322,281
143,4996,3322,73
144,4768,2762,914
144,5619,2762,1197
144,5628,2762,1111
144,5265,2762,778
144,4771,2762,463
144,6014,2762,917
144,5014,2762,773
145,5876,2604,671
145,5508,2604,1075
145,5448,2604,1161
145,5421,2604,49
145,5468,2604,318
145,5834,2604,164
145,5903,2604,3
145,4943,2604,775
146,5929,2139,77
146,5900,2139,2
146,5935,2139,824
146,5929,2139,77
146,5903,2139,3
146,5900,2139,2
146,4977,2139,12
146,4998,2139,29
146,5285,2139,0
